12
Luzhniki Stadium, Moscow
Krestovsky Stadium, Saint Petersburg
Otkrytiye Arena, Moscow
Kaliningrad Stadium, Kaliningrad
Kazan Arena, Kazan
Nizhny Novgorod Stadium, Nizhny Novgorod
Cosmos Arena, Samara
Volgograd Arena, Volgograd
Mordovia Arena, Saransk
Rostov Arena, Rostov-on-Don
Fisht Olympic Stadium, Sochi
Central Stadium, Yekaterinburg
