GK 3
1Eiji Kawashima
12Shusaku Nishikawa
23Masaaki Higashiguchi

DF 8
3Gen Sh¨­ji
4Shintaro Kurumaya
5Y¨±to Nagatomo
19Hiroki Sakai
20Tomoaki Makino
21G¨­toku Sakai
22Maya Yoshida
24Genta Miur

MF 7
2Yosuke Ideguchi
6Wataru Endo
7Shu Kurata
14Ryota Morioka
16Hotaru Yamaguchi
17Makoto Hasebe
25Kazuki Nagasawa

FW 7
8Genki Haraguchi
9Kenyu Sugimoto
10Takashi Inui
11Yuya Kubo
13Shinzo Koroki
15Yuya Osako
18Takuma Asano
